"Admin Panel";"Admin Panel"
"Manage Pages";"Manage Pages"
"Manage Menus";"Manage Menus"
"Manage Users";"Manage Users"
"Manage Bugs";"Manage Bugs"
"Build Search Index";"Build Search Index"
"Site Configuration";"Site Configuration"
"To set your site configuration this form.";"To set your site configuration this form."
"Head Title:";"Head Title:"
"Website Title:";"Website Title:"
"Website Description:";"Website Description:"
"Select skin:";"Select skin:"
"Admin email address:";"Admin email address:"
"Contact email address:";"Contact email address:"
"SMTP Transport Username:";"SMTP Transport Username:"
"SMTP Transport Protocol:";"SMTP Transport Protocol:"
"SMTP Transport port:";"SMTP Transport port:"
"SMTP Transport Password:";"SMTP Transport Password:"
"Save Configuration";"Save Configuration"
"Site Information";"Site Information"
"Contact Information";"Contact Information"
"SMTP Information";"SMTP Information"
