"Contact Us";"Contact Us"
"Sorry, there was an error sending your message.";"Sorry, there was an error sending your message."
"Thank you for contacting us. We will be in touch soon.";"Thank you for contacting us. We will be in touch soon."
"To send us a message please complete the form below and click Send Message.";"To send us a message please complete the form below and click Send Message."
"Enter your name:";"Enter your name:"
"Enter your email address:";"Enter your email address:"
"Subject:";"Subject:"
"Attach a file:";"Attach a file:"
"Message:";"Message:"
"Send Message";"Send Message"
