"Create a new user";"Create a new user"
"To create a new user complete this form and click submit.";"To create a new user complete this form and click submit."
"My Account";"My Account"
"To log in";"To log in"
"click here";"click here"
"Hello!";"Hello!"
"Your role is:";"Your role is:"
"To log out";"To log out"
"Current Users";"Current Users"
"Last Name";"Last Name"
"First Name";"First Name"
"Username";"Username"
"Role";"Role"
"You do not have any users yet.";"You do not have any users yet."
"Create a new user";"Create a new user"
"User Login";"User Login"
"To login to your account please enter your username and password below.";"To login to your account please enter your username and password below."
"User logout";"User logout"
"You have successfully logged out.";"You have successfully logged out."
"Update user password";"Update user password"
"Update user";"Update user"
"Update Password";"Update Password"
"Username:";"Username:"
"Password:";"Password:"
"First Name:";"First Name:"
"Last Name:";"Last Name:"
"Select a role:";"Select a role:"
