"Current Pages";"Current Pages"
"Links";"Links"
"Name";"Name"
"You do not have any pages yet.";"You do not have any pages yet."
"Are you sure to delete?";"Are you sure to delete?"
"Update";"Update"
"Delete";"Delete"
"Create a new page";"Create a new page"
"To create a new page complete this form and click submit.";"To create a new page complete this form and click submit."
"Page Name:";"Page Name:"
"Headline:";"Headline:"
"Image:";"Image:"
"Description:";"Description:"
"Content:";"Content:"
"Submit";"Submit"
"Preview Image:";"Preview Image:"
"Update page";"Update page"
"Last Content";"Last Content"
"More Pages";"More Pages"
"Headline (en):";"Headline (en):"
"Headline (fa):";"Headline (fa):"
"Description (en):";"Description (en):"
"Description (fa):";"Description (fa):"
"Content (en):";"Content (en):"
"Content (fa):";"Content (fa):"
